,Area_No,School_No,Exam_No,Area_ID,Exam_ID,Sido_No,Region_No,Gungu_No,School,Age,Gender,Strata,Weight,O_51B,O_51D,O_51M,O_51L,O_52B,O_52D,O_52M,O_52L,O_53B,O_53D,O_53M,O_53L,O_54B,O_54D,O_54O,O_54M,O_54L,O_55B,O_55D,O_55O,O_55M,O_55L,O_61B,O_61M,O_61D,O_61L,O_62B,O_62M,O_62D,O_62L,O_63B,O_63M,O_63D,O_63L,O_64B,O_64M,O_64O,O_64D,O_64L,O_65B,O_65M,O_65O,O_65D,O_65L,O_71L,O_71M,O_71D,O_71B,O_72L,O_72M,O_72D,O_72B,O_73L,O_73M,O_73D,O_73B,O_74L,O_74M,O_74O,O_74D,O_74B,O_75L,O_75M,O_75O,O_75D,O_75B,O_81L,O_81D,O_81M,O_81B,O_82L,O_82D,O_82M,O_82B,O_83L,O_83D,O_83M,O_83B,O_84L,O_84D,O_84O,O_84M,O_84B,O_85L,O_85D,O_85O,O_85M,O_85B,TN_UL_5,TN_UL_4,TN_UL_3,TN_UL_2,TN_UL_1,TN_UR_1,TN_UR_2,TN_UR_3,TN_UR_4,TN_UR_5,TN_LL_5,TN_LL_4,TN_LL_3,TN_LL_2,TN_LL_1,TN_LR_1,TN_LR_2,TN_LR_3,TN_LR_4,TN_LR_5,Calculus,Bleeding,Fluorosis,Trauma,Trauma_1,Trauma_2,Trauma_3,Trauma_4,Trauma_5,Orthodontic,n_tooth_d,dt_d,ft_d,dft_d,ds_d,fs_d,dfs_d,prev_caries_d,act_caries_d,label
10,1124,436,3,12,792,10,1,28.0,2,1,1,1103,52.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,0,0,0,0,0,0,0,0
11,2106,1063,3,46,3302,14,1,76.0,2,1,1,2102,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,2,2,0,6,6,1,0,1
12,1122,637,2,9,9746,10,1,25.0,2,1,2,1103,44.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,3,0,3,9,9,9,9,0,0,0,0,0,0,0,0,3,3,3,3,3,0,3,3,0,3,9,9,9,9,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18,0,8,8,0,26,26,1,0,1
13,2403,2360,2,34,8694,11,1,42.0,2,1,2,2402,31.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,9,9,9,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,9,9,9,9,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18,0,6,6,0,16,16,1,0,1
14,2108,1163,2,94,10075,14,1,78.0,2,1,2,2101,50.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,0,0,0,0,0,0,0,0
15,2504,2694,1,59,8673,13,1,64.0,2,1,1,2502,33.24,9,9,9,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,16,0,2,2,0,4,4,1,0,1
16,2109,1246,3,24,3466,14,1,86.0,2,1,1,2101,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,0,0,0,0,0,0,0,0
17,1124,436,3,20,800,10,1,28.0,2,1,2,1103,44.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,19,0,0,0,0,0,0,0,0,0
18,2604,2818,3,35,12182,15,1,93.0,2,1,1,2602,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,19,0,0,0,0,0,0,0,0,0
19,1125,1978,2,15,2988,10,1,12.0,2,1,2,1103,44.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,1,1,0,1,1,1,0,1
