,Element,label
0,Area_No,0.026525554556207
1,School_No,0.0373650087695238
2,Exam_No,0.0240923536953623
3,Area_ID,-0.0078431124126716
4,Exam_ID,-0.0119539386700768
5,Sido_No,0.0128927590290339
6,Region_No,0.0159061038640054
7,School,-0.0187301972695492
8,Age,
9,Gender,-0.0231129701180935
10,Strata,0.0263815944362342
11,Weight,-0.0178472244289239
12,O_51B,0.0329299458177125
13,O_51D,0.0413201187379582
14,O_51M,0.0617369367059338
15,O_51L,0.0322122954091955
16,O_52B,0.0447382305707731
17,O_52D,0.0442600346859146
18,O_52M,0.0593769871854893
19,O_52L,0.041839845203238
20,O_53B,0.0431497290972553
21,O_53D,0.056661033298466
22,O_53M,0.0364725953190156
23,O_53L,0.0317780859981736
24,O_54B,0.2877196955473873
25,O_54D,0.3862806182674832
26,O_54O,0.4000020764839322
27,O_54M,0.2989725364134644
28,O_54L,0.2870152432480996
29,O_55B,0.1706613454895079
30,O_55D,0.1745116123127796
31,O_55O,0.3608248031927259
32,O_55M,0.2719089316298357
33,O_55L,0.2403833828963223
34,O_61B,0.0288866664161184
35,O_61M,0.058347333117372
36,O_61D,0.0364722590894238
37,O_61L,0.0285536416418182
38,O_62B,0.0461708793643288
39,O_62M,0.0592732652899401
40,O_62D,0.043549461735862
41,O_62L,0.0416105013386439
42,O_63B,0.0413117466031547
43,O_63M,0.0292261290790363
44,O_63D,0.0490282554149553
45,O_63L,0.0260094832216277
46,O_64B,0.2912721873893837
47,O_64M,0.3010392934190781
48,O_64O,0.4017216632825867
49,O_64D,0.3896378467174596
50,O_64L,0.292289247199744
51,O_65B,0.1869317909526308
52,O_65M,0.2846758504543538
53,O_65O,0.3691596363606547
54,O_65D,0.1901511406595643
55,O_65L,0.2554393791059128
56,O_71L,0.0483144920586485
57,O_71M,0.048433489117378
58,O_71D,0.0483163726400625
59,O_71B,0.048048855753935
60,O_72L,0.0233690968165701
61,O_72M,0.0236643201057818
62,O_72D,0.0237340523473979
63,O_72B,0.0234898028869068
64,O_73L,0.0131097115103776
65,O_73M,0.0149768436936342
66,O_73D,0.0299436906834253
67,O_73B,0.0166900407478224
68,O_74L,0.335747790540466
69,O_74M,0.3437359606169167
70,O_74O,0.4962457312791408
71,O_74D,0.464550792048403
72,O_74B,0.338635093599096
73,O_75L,0.2048382624125238
74,O_75M,0.2764622173424464
75,O_75O,0.4411864564304015
76,O_75D,0.2063616939115367
77,O_75B,0.2469113595816793
78,O_81L,0.0446219493779151
79,O_81D,0.0448556658443639
80,O_81M,0.0450561468199059
81,O_81B,0.0446386370620918
82,O_82L,0.0210210126212062
83,O_82D,0.0214022037756264
84,O_82M,0.0213502669556758
85,O_82B,0.0211244237786675
86,O_83L,0.0059975694119457
87,O_83D,0.0201260757300835
88,O_83M,0.0081684712428681
89,O_83B,0.0081518808238314
90,O_84L,0.3302614902080361
91,O_84D,0.4579162327867928
92,O_84O,0.4964299383157084
93,O_84M,0.3365682134009065
94,O_84B,0.3309974981105224
95,O_85L,0.2046401044931212
96,O_85D,0.2068683764187087
97,O_85O,0.447134946283082
98,O_85M,0.2763491001173948
99,O_85B,0.238979342361505
100,n_tooth_d,-0.0470573568061038
101,dt_d,0.3575765823536541
102,ft_d,0.6050441629623092
103,dft_d,0.6609883741295643
104,ds_d,0.304791668309595
105,fs_d,0.5102365346637296
106,dfs_d,0.5526264592813863
107,prev_caries_d,1.0
108,act_caries_d,0.4762423870010276
109,label,1.0
